,security,profit,total trades,prof factor,expected pay off,drawdown $,drawdown,,moving average,standard deviation
1,gbpusd,-6534.05,20,0.49,-326.7,10298.7,74.82%,0,LB=5 ,BF=0.5
2,gbpusd,-7365.35,20,0.43,-368.27,10093.2,79.30%,0,LB=6 ,BF=0.5
3,gbpusd,-6402.6,21,0.52,-304.89,11658.5,76.42%,0,LB=7 ,BF=0.5
4,gbpusd,-7073.1,25,0.52,-282.92,12784.5,83.80%,0,LB=8 ,BF=0.5
5,gbpusd,-6775.9,20,0.51,-338.8,12031.8,78.87%,0,LB=9 ,BF=0.5
6,gbpusd,-6537.85,25,0.63,-261.51,13160.9,86.27%,0,LB=10 ,BF=0.5
7,gbpusd,-7721.65,16,0.4,-482.6,11971.25,84.01%,0,LB=5 ,BF=1
8,gbpusd,-6529.8,26,0.55,-251.15,11220.15,78.82%,0,LB=6 ,BF=1
9,gbpusd,-7916.85,28,0.54,-282.74,13420.9,86.56%,0,LB=7 ,BF=1
10,gbpusd,-6103,26,0.62,-234.73,12231.15,78.89%,0,LB=8 ,BF=1
11,gbpusd,1230.7,36,1.08,34.19,10084.5,74.65%,0,LB=9 ,BF=1
12,gbpusd,-8482.05,28,0.55,-302.93,14439.85,90.49%,0,LB=10 ,BF=1
,,,,,,,,,,
1,eurgbp,6369.08,76,1.35,83.8,5042.78,47.64%,0,LB=5 ,BF=0.5
2,eurgbp,4475.42,69,1.25,64.86,4986.97,42.59%,0,LB=6 ,BF=0.5
3,eurgbp,-5070.49,8,0.08,-633.81,5070.49,50.70%,0,LB=7 ,BF=0.5
4,eurgbp,-5070.49,8,0.08,-633.81,5070.49,50.70%,0,LB=8 ,BF=0.5
5,eurgbp,-5070.49,8,0.08,-633.81,5070.49,50.70%,0,LB=9 ,BF=0.5
6,eurgbp,-5070.49,8,0.08,-633.81,5070.49,50.70%,0,LB=10 ,BF=0.5
7,eurgbp,5733.38,60,1.36,95.56,4581.11,35.14%,0,LB=5 ,BF=1
8,eurgbp,1353.12,49,1.09,27.61,5454.03,41.98%,0,LB=6 ,BF=1
9,eurgbp,-5524.23,29,0.6,-190.49,6725.18,60.04%,0,LB=7 ,BF=1
10,eurgbp,-1693.77,44,0.89,-38.49,6727.45,54.62%,0,LB=8 ,BF=1
11,eurgbp,-912.57,42,0.94,-21.73,7340.32,52.44%,0,LB=9 ,BF=1
12,eurgbp,-5511.83,29,0.62,-190.06,7099.87,61.27%,0,LB=10 ,BF=1
,,,,,,,,,,
1,eurusd,4456.32,76,1.18,58.64,8975.7,38.31%,0,LB=5 ,BF=0.5
2,eurusd,2915.46,69,1.12,42.25,8856.09,40.68%,0,LB=6 ,BF=0.5
3,eurusd,5772.89,64,1.25,90.2,9164.81,36.75%,0,LB=7 ,BF=0.5
4,eurusd,5339.93,64,1.24,83.44,9208.48,38.72%,0,LB=8 ,BF=0.5
5,eurusd,9242.67,57,1.46,162.15,8002.38,32.29%,0,LB=9 ,BF=0.5
6,eurusd,11947.66,53,1.65,225.43,7922.15,30.25%,0,LB=10 ,BF=0.5
7,eurusd,3441.64,60,1.16,57.36,9683.14,41.87%,0,LB=5 ,BF=1
8,eurusd,5581.01,49,1.32,113.9,6944.08,44.15%,0,LB=6 ,BF=1
9,eurusd,6440.49,49,1.35,131.44,7523.14,47.02%,0,LB=7 ,BF=1
10,eurusd,2456.79,44,1.14,55.84,9377.02,47.02%,0,LB=8 ,BF=1
11,eurusd,4509.66,42,1.26,107.37,9885.24,42.63%,0,LB=9 ,BF=1
12,eurusd,5787.8,43,1.33,134.6,8084.08,49.39%,0,LB=10 ,BF=1